"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante"
"Charlotte Hornets","New York Knicks",0.492001284934147,0.507998715065853
"Indiana Pacers","Brooklyn Nets",0.509843125799372,0.490156874200628
"Golden State Warriors","Toronto Raptors",0.511470093003808,0.488529906996192
"Sacramento Kings","Chicago Bulls",0.504963963126472,0.495036036873528
"Los Angeles Lakers","Milwaukee Bucks",0.509156511543907,0.490843488456093
"Washington Wizards","Orlando Magic",0.491127488999489,0.508872511000511
"Miami Heat","Houston Rockets",0.497480872926243,0.502519127073757
"Minnesota Timberwolves","New Orleans Pelicans",0.519429438712866,0.480570561287134
"Oklahoma City Thunder","Charlotte Hornets",0.528313477079835,0.471686522920165
"San Antonio Spurs","Philadelphia 76ers",0.506114594326153,0.493885405673847
"Dallas Mavericks","Detroit Pistons",0.499236040697878,0.500763959302122
"Utah Jazz","Boston Celtics",0.482560410523494,0.517439589476506
"Phoenix Suns","Cleveland Cavaliers",0.493470267528845,0.506529732471155
"Portland Trail Blazers","Denver Nuggets",0.496094996038402,0.503905003961598
"LA Clippers","Memphis Grizzlies",0.50614832842321,0.49385167157679
"Indiana Pacers","Brooklyn Nets",0.509843125799372,0.490156874200628
"Atlanta Hawks","Golden State Warriors",0.495082390679097,0.504917609320903
"New York Knicks","Washington Wizards",0.52013919458401,0.47986080541599
"Sacramento Kings","Milwaukee Bucks",0.505178595140088,0.494821404859912
"Los Angeles Lakers","Chicago Bulls",0.508822935080019,0.491177064919981
"Detroit Pistons","New Orleans Pelicans",0.514789709394538,0.485210290605462
"Utah Jazz","Cleveland Cavaliers",0.483724282059597,0.516275717940403
"Atlanta Hawks","Philadelphia 76ers",0.504201238030195,0.495798761969805
"Miami Heat","Charlotte Hornets",0.512806502288095,0.487193497711905
"Toronto Raptors","San Antonio Spurs",0.501809241561498,0.498190758438502
"Portland Trail Blazers","Boston Celtics",0.488736202281686,0.511263797718315
"Houston Rockets","Denver Nuggets",0.50448307410796,0.49551692589204
"LA Clippers","Oklahoma City Thunder",0.497125487345536,0.502874512654464
"Indiana Pacers","Minnesota Timberwolves",0.500601174057571,0.499398825942429
"Orlando Magic","Los Angeles Lakers",0.504286200723626,0.495713799276374
