"Time_Casa","Visitante","Prob_Vitoria_Casa","Prob_Vitoria_Visitante","Placar_Estimado_Casa","Placar_Estimado_Fora"
"Charlotte Hornets","New York Knicks",0.492001284934147,0.507998715065853,106,115
"Indiana Pacers","Brooklyn Nets",0.509843125799372,0.490156874200628,119,107
"Golden State Warriors","Toronto Raptors",0.511470093003808,0.488529906996192,113,108
"Sacramento Kings","Chicago Bulls",0.504963963126472,0.495036036873528,118,118
"Los Angeles Lakers","Milwaukee Bucks",0.509156511543907,0.490843488456093,115,111
"Washington Wizards","Orlando Magic",0.491127488999489,0.508872511000511,111,104
"Miami Heat","Houston Rockets",0.497480872926243,0.502519127073757,111,114
"Minnesota Timberwolves","New Orleans Pelicans",0.519429438712866,0.480570561287134,115,109
"Oklahoma City Thunder","Charlotte Hornets",0.528313477079835,0.471686522920165,120,105
"San Antonio Spurs","Philadelphia 76ers",0.506114594326153,0.493885405673847,117,110
"Dallas Mavericks","Detroit Pistons",0.499236040697878,0.500763959302122,114,116
"Utah Jazz","Boston Celtics",0.482560410523494,0.517439589476506,112,116
"Phoenix Suns","Cleveland Cavaliers",0.493470267528845,0.506529732471155,115,122
"Portland Trail Blazers","Denver Nuggets",0.496094996038402,0.503905003961598,113,119
"LA Clippers","Memphis Grizzlies",0.50614832842321,0.49385167157679,114,121
"Indiana Pacers","Brooklyn Nets",0.509843125799372,0.490156874200628,119,107
"Atlanta Hawks","Golden State Warriors",0.495082390679097,0.504917609320903,117,114
"New York Knicks","Washington Wizards",0.52013919458401,0.47986080541599,118,107
"Sacramento Kings","Milwaukee Bucks",0.505178595140088,0.494821404859912,118,111
"Los Angeles Lakers","Chicago Bulls",0.508822935080019,0.491177064919981,115,118
"Detroit Pistons","New Orleans Pelicans",0.514789709394538,0.485210290605462,114,109
"Utah Jazz","Cleveland Cavaliers",0.483724282059597,0.516275717940403,112,122
"Atlanta Hawks","Philadelphia 76ers",0.504201238030195,0.495798761969805,117,110
"Miami Heat","Charlotte Hornets",0.512806502288095,0.487193497711905,111,105
"Toronto Raptors","San Antonio Spurs",0.501809241561498,0.498190758438502,113,111
"Portland Trail Blazers","Boston Celtics",0.488736202281686,0.511263797718315,113,116
"Houston Rockets","Denver Nuggets",0.50448307410796,0.49551692589204,113,119
"LA Clippers","Oklahoma City Thunder",0.497125487345536,0.502874512654464,114,118
"Indiana Pacers","Minnesota Timberwolves",0.500601174057571,0.499398825942429,119,112
"Orlando Magic","Los Angeles Lakers",0.504286200723626,0.495713799276374,106,111
"Washington Wizards","Toronto Raptors",0.495330816610372,0.504669183389628,111,108
"Brooklyn Nets","Dallas Mavericks",0.497242675315891,0.502757324684109,104,116
"New Orleans Pelicans","Philadelphia 76ers",0.501600451892299,0.498399548107701,112,110
"Denver Nuggets","Chicago Bulls",0.508451573103023,0.491548426896977,123,118
"Phoenix Suns","Milwaukee Bucks",0.504989712543588,0.495010287456412,115,111
"Sacramento Kings","Boston Celtics",0.492936158869785,0.507063841130215,118,116
"Charlotte Hornets","Orlando Magic",0.498832944314772,0.501167055685228,106,104
"Detroit Pistons","San Antonio Spurs",0.50578291290666,0.49421708709334,114,111
"Miami Heat","Golden State Warriors",0.497325841175276,0.502674158824724,111,114
"New York Knicks","Dallas Mavericks",0.511422445453988,0.488577554546012,118,116
"Houston Rockets","Atlanta Hawks",0.509624566255316,0.490375433744684,113,117
"Utah Jazz","Memphis Grizzlies",0.49054522702896,0.50945477297104,112,121
"Portland Trail Blazers","Cleveland Cavaliers",0.489717951136685,0.510282048863315,113,122
"Sacramento Kings","Oklahoma City Thunder",0.491550793407033,0.508449206592967,118,118
"Philadelphia 76ers","Washington Wizards",0.50745742017508,0.49254257982492,110,107
"Brooklyn Nets","Toronto Raptors",0.501378169790518,0.498621830209482,104,108
"Indiana Pacers","Los Angeles Lakers",0.506827579165887,0.493172420834113,119,111
"New York Knicks","LA Clippers",0.508836253183199,0.491163746816801,118,110
"Denver Nuggets","Milwaukee Bucks",0.50876352802925,0.49123647197075,123,111
"Phoenix Suns","Boston Celtics",0.492609079990011,0.507390920009989,115,116
"Cleveland Cavaliers","San Antonio Spurs",0.518308033224294,0.481691966775706,123,111
"Orlando Magic","Dallas Mavericks",0.505610772683552,0.494389227316448,106,116
"Washington Wizards","Indiana Pacers",0.488141437229193,0.511858562770807,111,115
"Miami Heat","Atlanta Hawks",0.502629393333082,0.497370606666918,111,117
"Chicago Bulls","Los Angeles Lakers",0.498089833323615,0.501910166676385,116,111
"Oklahoma City Thunder","Memphis Grizzlies",0.512978548953377,0.487021451046623,120,121
"Utah Jazz","Houston Rockets",0.489875911333677,0.510124088666323,112,114
"Sacramento Kings","Portland Trail Blazers",0.508952730344904,0.491047269655096,118,108
"Detroit Pistons","Cleveland Cavaliers",0.491808483616967,0.508191516383033,114,122
"Brooklyn Nets","LA Clippers",0.494110039808554,0.505889960191446,104,110
